land_id,farmer_id,date,ndvi,cloud_cover
LAND000014,FRM000014,2025-04-29,0.622,18.2
LAND000014,FRM000014,2025-05-29,0.719,37.3
LAND000014,FRM000014,2025-06-28,0.533,34.3
LAND000014,FRM000014,2025-07-28,0.46,18.6
LAND000014,FRM000014,2025-08-27,0.385,31.6
LAND000014,FRM000014,2025-09-26,0.532,39.9
LAND000014,FRM000014,2025-10-26,0.53,3.0
LAND000015,FRM000015,2024-11-30,0.462,13.9
LAND000015,FRM000015,2024-12-30,0.469,0.9
LAND000015,FRM000015,2025-01-29,0.593,35.2
LAND000015,FRM000015,2025-02-28,0.566,20.6
LAND000015,FRM000015,2025-03-30,0.505,30.7
LAND000015,FRM000015,2025-04-29,0.568,30.1
LAND000015,FRM000015,2025-05-29,0.44,3.9
LAND000015,FRM000015,2025-06-28,0.483,2.6
LAND000015,FRM000015,2025-07-28,0.49,34.3
LAND000015,FRM000015,2025-08-27,0.437,18.5
LAND000015,FRM000015,2025-09-26,0.403,37.3
LAND000015,FRM000015,2025-10-26,0.402,13.5
LAND000016,FRM000016,2024-11-30,0.759,30.0
LAND000016,FRM000016,2024-12-30,0.777,28.0
LAND000016,FRM000016,2025-01-29,0.763,13.7
LAND000016,FRM000016,2025-02-28,0.78,26.7
LAND000016,FRM000016,2025-03-30,0.789,38.9
LAND000016,FRM000016,2025-04-29,0.688,39.3
LAND000016,FRM000016,2025-05-29,0.723,29.5
LAND000016,FRM000016,2025-06-28,0.61,20.0
LAND000016,FRM000016,2025-07-28,0.514,37.5
LAND000016,FRM000016,2025-08-27,0.559,14.1
LAND000016,FRM000016,2025-09-26,0.651,13.4
LAND000016,FRM000016,2025-10-26,0.554,10.2
LAND000017,FRM000017,2024-11-30,0.824,28.8
LAND000017,FRM000017,2024-12-30,0.9,20.6
LAND000017,FRM000017,2025-01-29,0.9,21.1
LAND000017,FRM000017,2025-02-28,0.9,23.3
LAND000017,FRM000017,2025-03-30,0.9,29.1
LAND000017,FRM000017,2025-04-29,0.9,34.8
LAND000017,FRM000017,2025-05-29,0.891,37.9
LAND000017,FRM000017,2025-06-28,0.811,15.9
LAND000017,FRM000017,2025-07-28,0.852,4.4
LAND000017,FRM000017,2025-08-27,0.794,8.1
LAND000017,FRM000017,2025-09-26,0.87,10.4
LAND000017,FRM000017,2025-10-26,0.9,33.5
LAND000018,FRM000018,2024-11-30,0.614,35.7
LAND000018,FRM000018,2024-12-30,0.668,27.6
LAND000018,FRM000018,2025-01-29,0.695,12.2
LAND000018,FRM000018,2025-02-28,0.601,30.4
LAND000018,FRM000018,2025-03-30,0.605,20.5
LAND000018,FRM000018,2025-04-29,0.609,13.7
LAND000018,FRM000018,2025-05-29,0.596,12.9
LAND000018,FRM000018,2025-06-28,0.411,31.1
LAND000018,FRM000018,2025-07-28,0.464,32.4
LAND000018,FRM000018,2025-08-27,0.41,26.9
LAND000018,FRM000018,2025-09-26,0.48,12.0
LAND000018,FRM000018,2025-10-26,0.481,0.8
LAND000019,FRM000019,2024-11-30,0.785,38.2
LAND000019,FRM000019,2024-12-30,0.866,8.4
LAND000019,FRM000019,2025-01-29,0.9,8.7
LAND000019,FRM000019,2025-02-28,0.9,24.8
LAND000019,FRM000019,2025-03-30,0.9,0.6
LAND000019,FRM000019,2025-04-29,0.88,36.8
LAND000019,FRM000019,2025-05-29,0.9,10.1
LAND000019,FRM000019,2025-06-28,0.794,35.8
LAND000019,FRM000019,2025-07-28,0.712,33.3
LAND000019,FRM000019,2025-08-27,0.85,19.7
LAND000019,FRM000019,2025-09-26,0.744,35.1
LAND000019,FRM000019,2025-10-26,0.86,7.9
LAND000020,FRM000020,2024-11-30,0.252,21.8
LAND000020,FRM000020,2024-12-30,0.39,27.4
LAND000020,FRM000020,2025-01-29,0.398,18.8
LAND000020,FRM000020,2025-02-28,0.333,2.8
LAND000020,FRM000020,2025-03-30,0.356,23.0
LAND000020,FRM000020,2025-04-29,0.392,20.6
LAND000020,FRM000020,2025-05-29,0.236,16.9
LAND000020,FRM000020,2025-06-28,0.231,18.1
LAND000020,FRM000020,2025-07-28,0.224,21.8
LAND000020,FRM000020,2025-08-27,0.193,3.5
LAND000020,FRM000020,2025-09-26,0.145,5.0
LAND000020,FRM000020,2025-10-26,0.183,14.6
LAND000021,FRM000021,2024-11-30,0.305,2.2
LAND000021,FRM000021,2024-12-30,0.361,0.7
LAND000021,FRM000021,2025-01-29,0.458,5.6
LAND000021,FRM000021,2025-02-28,0.317,17.0
LAND000021,FRM000021,2025-03-30,0.394,0.3
LAND000021,FRM000021,2025-04-29,0.389,18.7
LAND000021,FRM000021,2025-05-29,0.317,5.3
LAND000021,FRM000021,2025-06-28,0.361,35.5
LAND000021,FRM000021,2025-07-28,0.248,34.3
LAND000021,FRM000021,2025-08-27,0.248,32.7
LAND000021,FRM000021,2025-09-26,0.272,8.7
LAND000021,FRM000021,2025-10-26,0.197,3.1
LAND000022,FRM000022,2024-11-30,0.58,18.0
LAND000022,FRM000022,2024-12-30,0.682,37.6
LAND000022,FRM000022,2025-01-29,0.686,35.0
LAND000022,FRM000022,2025-02-28,0.837,10.9
LAND000022,FRM000022,2025-03-30,0.642,31.7
LAND000022,FRM000022,2025-04-29,0.617,27.2
LAND000022,FRM000022,2025-05-29,0.602,3.8
LAND000022,FRM000022,2025-06-28,0.478,35.9
LAND000022,FRM000022,2025-07-28,0.525,1.8
LAND000022,FRM000022,2025-08-27,0.529,23.2
LAND000022,FRM000022,2025-09-26,0.525,27.2
LAND000022,FRM000022,2025-10-26,0.531,9.5
LAND000023,FRM000023,2024-11-30,0.33,25.2
LAND000023,FRM000023,2024-12-30,0.37,39.5
LAND000023,FRM000023,2025-01-29,0.392,29.4
LAND000023,FRM000023,2025-02-28,0.425,20.9
LAND000023,FRM000023,2025-03-30,0.456,8.2
LAND000023,FRM000023,2025-04-29,0.357,10.4
LAND000023,FRM000023,2025-05-29,0.333,16.8
LAND000023,FRM000023,2025-06-28,0.255,20.6
LAND000023,FRM000023,2025-07-28,0.289,5.5
LAND000023,FRM000023,2025-08-27,0.266,2.2
LAND000023,FRM000023,2025-09-26,0.332,31.5
LAND000023,FRM000023,2025-10-26,0.352,9.7
LAND000024,FRM000024,2024-11-30,0.586,2.5
LAND000024,FRM000024,2024-12-30,0.544,24.4
LAND000024,FRM000024,2025-01-29,0.673,5.1
LAND000024,FRM000024,2025-02-28,0.766,23.3
LAND000024,FRM000024,2025-03-30,0.714,13.8
LAND000024,FRM000024,2025-04-29,0.644,15.6
LAND000024,FRM000024,2025-05-29,0.524,36.4
LAND000024,FRM000024,2025-06-28,0.561,6.2
LAND000024,FRM000024,2025-07-28,0.464,25.7
LAND000024,FRM000024,2025-08-27,0.466,11.1
LAND000024,FRM000024,2025-09-26,0.371,6.9
LAND000024,FRM000024,2025-10-26,0.472,24.9
LAND000025,FRM000025,2024-11-30,0.612,26.6
LAND000025,FRM000025,2024-12-30,0.588,13.7
LAND000025,FRM000025,2025-01-29,0.677,17.4
LAND000025,FRM000025,2025-02-28,0.709,21.0
LAND000025,FRM000025,2025-03-30,0.703,29.9
LAND000025,FRM000025,2025-04-29,0.597,5.8
LAND000025,FRM000025,2025-05-29,0.568,39.3
LAND000025,FRM000025,2025-06-28,0.567,15.3
LAND000025,FRM000025,2025-07-28,0.477,17.6
LAND000025,FRM000025,2025-08-27,0.435,2.8
LAND000025,FRM000025,2025-09-26,0.595,29.6
LAND000025,FRM000025,2025-10-26,0.614,1.2
LAND000026,FRM000026,2024-11-30,0.453,28.0
LAND000026,FRM000026,2024-12-30,0.549,2.2
LAND000026,FRM000026,2025-01-29,0.606,20.3
LAND000026,FRM000026,2025-02-28,0.642,17.7
LAND000026,FRM000026,2025-03-30,0.593,34.8
LAND000026,FRM000026,2025-04-29,0.551,36.2
LAND000026,FRM000026,2025-05-29,0.586,3.3
LAND000026,FRM000026,2025-06-28,0.579,8.7
LAND000026,FRM000026,2025-07-28,0.514,18.5
LAND000026,FRM000026,2025-08-27,0.45,19.5
LAND000026,FRM000026,2025-09-26,0.509,35.9
LAND000026,FRM000026,2025-10-26,0.575,18.3
LAND000027,FRM000027,2024-11-30,0.685,12.1
LAND000027,FRM000027,2024-12-30,0.798,2.0
LAND000027,FRM000027,2025-01-29,0.9,37.3
LAND000027,FRM000027,2025-02-28,0.862,37.3
LAND000027,FRM000027,2025-03-30,0.845,1.1
LAND000027,FRM000027,2025-04-29,0.782,34.2
LAND000027,FRM000027,2025-05-29,0.85,28.6
LAND000027,FRM000027,2025-06-28,0.668,17.2
LAND000027,FRM000027,2025-07-28,0.732,0.2
LAND000027,FRM000027,2025-08-27,0.699,16.5
LAND000027,FRM000027,2025-09-26,0.72,1.0
LAND000027,FRM000027,2025-10-26,0.714,16.3
LAND000028,FRM000028,2024-11-30,0.31,39.8
LAND000028,FRM000028,2024-12-30,0.266,32.0
LAND000028,FRM000028,2025-01-29,0.388,1.7
LAND000028,FRM000028,2025-02-28,0.423,8.3
LAND000028,FRM000028,2025-03-30,0.339,4.1
LAND000028,FRM000028,2025-04-29,0.335,28.1
LAND000028,FRM000028,2025-05-29,0.191,39.9
LAND000028,FRM000028,2025-06-28,0.138,34.3
LAND000028,FRM000028,2025-07-28,0.152,26.0
LAND000028,FRM000028,2025-08-27,0.112,29.7
LAND000028,FRM000028,2025-09-26,0.158,24.9
LAND000028,FRM000028,2025-10-26,0.159,5.4
LAND000029,FRM000029,2024-11-30,0.627,1.5
LAND000029,FRM000029,2024-12-30,0.622,3.2
LAND000029,FRM000029,2025-01-29,0.78,13.7
LAND000029,FRM000029,2025-02-28,0.793,8.6
LAND000029,FRM000029,2025-03-30,0.701,21.7
LAND000029,FRM000029,2025-04-29,0.727,38.7
LAND000029,FRM000029,2025-05-29,0.665,15.1
LAND000029,FRM000029,2025-06-28,0.542,38.6
LAND000029,FRM000029,2025-07-28,0.54,39.3
LAND000029,FRM000029,2025-08-27,0.489,21.5
LAND000029,FRM000029,2025-09-26,0.498,28.1
LAND000029,FRM000029,2025-10-26,0.625,0.6
LAND000030,FRM000030,2024-11-30,0.621,13.7
LAND000030,FRM000030,2024-12-30,0.65,38.1
LAND000030,FRM000030,2025-01-29,0.741,32.7
LAND000030,FRM000030,2025-02-28,0.779,26.7
LAND000030,FRM000030,2025-03-30,0.768,8.4
LAND000030,FRM000030,2025-04-29,0.703,12.9
LAND000030,FRM000030,2025-05-29,0.697,34.4
LAND000030,FRM000030,2025-06-28,0.718,8.5
LAND000030,FRM000030,2025-07-28,0.59,25.7
LAND000030,FRM000030,2025-08-27,0.636,30.5
LAND000030,FRM000030,2025-09-26,0.574,1.3
LAND000030,FRM000030,2025-10-26,0.73,4.8
LAND000031,FRM000031,2024-11-30,0.858,8.3
LAND000031,FRM000031,2024-12-30,0.882,29.4
LAND000031,FRM000031,2025-01-29,0.9,26.8
LAND000031,FRM000031,2025-02-28,0.9,32.6
LAND000031,FRM000031,2025-03-30,0.854,0.0
LAND000031,FRM000031,2025-04-29,0.805,38.5
LAND000031,FRM000031,2025-05-29,0.809,3.2
LAND000031,FRM000031,2025-06-28,0.759,17.9
LAND000031,FRM000031,2025-07-28,0.731,36.1
LAND000031,FRM000031,2025-08-27,0.697,27.9
LAND000031,FRM000031,2025-09-26,0.688,12.8
LAND000031,FRM000031,2025-10-26,0.709,30.5
LAND000032,FRM000032,2024-11-30,0.819,16.7
LAND000032,FRM000032,2024-12-30,0.9,1.8
LAND000032,FRM000032,2025-01-29,0.9,4.7
LAND000032,FRM000032,2025-02-28,0.878,18.1
LAND000032,FRM000032,2025-03-30,0.9,3.2
LAND000032,FRM000032,2025-04-29,0.9,7.7
LAND000032,FRM000032,2025-05-29,0.782,14.3
LAND000032,FRM000032,2025-06-28,0.831,21.2
LAND000032,FRM000032,2025-07-28,0.89,13.6
LAND000032,FRM000032,2025-08-27,0.837,32.2
LAND000032,FRM000032,2025-09-26,0.818,22.2
LAND000032,FRM000032,2025-10-26,0.877,23.5
LAND000033,FRM000033,2024-11-30,0.398,36.7
LAND000033,FRM000033,2024-12-30,0.442,36.3
LAND000033,FRM000033,2025-01-29,0.486,22.3
LAND000033,FRM000033,2025-02-28,0.576,39.1
LAND000033,FRM000033,2025-03-30,0.414,31.1
LAND000033,FRM000033,2025-04-29,0.394,6.8
LAND000033,FRM000033,2025-05-29,0.249,27.6
LAND000033,FRM000033,2025-06-28,0.246,35.1
LAND000033,FRM000033,2025-07-28,0.188,11.9
LAND000033,FRM000033,2025-08-27,0.174,26.9
LAND000033,FRM000033,2025-09-26,0.128,7.4
LAND000033,FRM000033,2025-10-26,0.166,19.9
LAND000034,FRM000034,2024-11-30,0.597,3.1
LAND000034,FRM000034,2024-12-30,0.553,26.6
LAND000034,FRM000034,2025-01-29,0.633,11.4
LAND000034,FRM000034,2025-02-28,0.571,28.9
LAND000034,FRM000034,2025-03-30,0.585,32.7
LAND000034,FRM000034,2025-04-29,0.721,27.3
LAND000034,FRM000034,2025-05-29,0.575,17.2
LAND000034,FRM000034,2025-06-28,0.48,7.6
LAND000034,FRM000034,2025-07-28,0.418,20.8
LAND000034,FRM000034,2025-08-27,0.408,9.4
LAND000034,FRM000034,2025-09-26,0.547,12.9
LAND000034,FRM000034,2025-10-26,0.533,1.4
LAND000035,FRM000035,2024-11-30,0.282,1.5
LAND000035,FRM000035,2024-12-30,0.468,29.1
LAND000035,FRM000035,2025-01-29,0.46,4.4
LAND000035,FRM000035,2025-02-28,0.557,15.3
LAND000035,FRM000035,2025-03-30,0.549,24.1
LAND000035,FRM000035,2025-04-29,0.517,29.1
LAND000035,FRM000035,2025-05-29,0.478,26.7
LAND000035,FRM000035,2025-06-28,0.376,8.0
LAND000035,FRM000035,2025-07-28,0.382,12.5
LAND000035,FRM000035,2025-08-27,0.397,24.8
LAND000035,FRM000035,2025-09-26,0.473,4.5
LAND000035,FRM000035,2025-10-26,0.494,34.0
LAND000036,FRM000036,2024-11-30,0.623,39.2
LAND000036,FRM000036,2024-12-30,0.89,29.6
LAND000036,FRM000036,2025-01-29,0.822,3.8
LAND000036,FRM000036,2025-02-28,0.792,1.1
LAND000036,FRM000036,2025-03-30,0.825,6.9
LAND000036,FRM000036,2025-04-29,0.71,29.0
LAND000036,FRM000036,2025-05-29,0.807,8.1
LAND000036,FRM000036,2025-06-28,0.655,29.8
LAND000036,FRM000036,2025-07-28,0.653,0.6
LAND000036,FRM000036,2025-08-27,0.595,29.2
LAND000036,FRM000036,2025-09-26,0.535,22.7
LAND000036,FRM000036,2025-10-26,0.626,26.0
LAND000037,FRM000037,2024-11-30,0.784,11.2
LAND000037,FRM000037,2024-12-30,0.75,14.8
LAND000037,FRM000037,2025-01-29,0.778,28.9
LAND000037,FRM000037,2025-02-28,0.9,20.3
LAND000037,FRM000037,2025-03-30,0.801,15.6
LAND000037,FRM000037,2025-04-29,0.805,9.6
LAND000037,FRM000037,2025-05-29,0.734,3.7
LAND000037,FRM000037,2025-06-28,0.667,4.0
LAND000037,FRM000037,2025-07-28,0.642,10.5
LAND000037,FRM000037,2025-08-27,0.665,30.7
LAND000037,FRM000037,2025-09-26,0.619,12.6
LAND000037,FRM000037,2025-10-26,0.687,31.6
LAND000038,FRM000038,2024-11-30,0.759,27.7
LAND000038,FRM000038,2024-12-30,0.78,9.7
LAND000038,FRM000038,2025-01-29,0.797,22.6
LAND000038,FRM000038,2025-02-28,0.704,0.6
LAND000038,FRM000038,2025-03-30,0.737,16.3
LAND000038,FRM000038,2025-04-29,0.781,32.4
LAND000038,FRM000038,2025-05-29,0.634,7.1
LAND000038,FRM000038,2025-06-28,0.592,38.2
LAND000038,FRM000038,2025-07-28,0.541,20.1
LAND000038,FRM000038,2025-08-27,0.497,19.7
LAND000038,FRM000038,2025-09-26,0.529,15.4
LAND000038,FRM000038,2025-10-26,0.546,38.9
LAND000039,FRM000039,2024-11-30,0.505,16.8
LAND000039,FRM000039,2024-12-30,0.532,15.6
LAND000039,FRM000039,2025-01-29,0.568,8.8
LAND000039,FRM000039,2025-02-28,0.675,29.2
LAND000039,FRM000039,2025-03-30,0.501,6.8
LAND000039,FRM000039,2025-04-29,0.603,7.5
LAND000039,FRM000039,2025-05-29,0.605,11.5
LAND000039,FRM000039,2025-06-28,0.52,13.1
LAND000039,FRM000039,2025-07-28,0.468,1.5
LAND000039,FRM000039,2025-08-27,0.427,36.7
LAND000039,FRM000039,2025-09-26,0.488,20.8
LAND000039,FRM000039,2025-10-26,0.584,7.6
LAND000040,FRM000040,2024-11-30,0.727,2.0
LAND000040,FRM000040,2024-12-30,0.715,34.5
LAND000040,FRM000040,2025-01-29,0.781,37.6
LAND000040,FRM000040,2025-02-28,0.733,26.8
LAND000040,FRM000040,2025-03-30,0.694,33.4
LAND000040,FRM000040,2025-04-29,0.774,38.5
LAND000040,FRM000040,2025-05-29,0.642,24.3
LAND000040,FRM000040,2025-06-28,0.617,34.0
LAND000040,FRM000040,2025-07-28,0.574,20.4
LAND000040,FRM000040,2025-08-27,0.489,2.5
LAND000040,FRM000040,2025-09-26,0.432,5.7
LAND000040,FRM000040,2025-10-26,0.402,4.1
LAND000041,FRM000041,2024-11-30,0.744,12.1
LAND000041,FRM000041,2024-12-30,0.841,29.8
LAND000041,FRM000041,2025-01-29,0.9,28.1
LAND000041,FRM000041,2025-02-28,0.829,14.9
LAND000041,FRM000041,2025-03-30,0.879,6.5
LAND000041,FRM000041,2025-04-29,0.832,22.6
LAND000041,FRM000041,2025-05-29,0.775,14.5
LAND000041,FRM000041,2025-06-28,0.742,24.0
LAND000041,FRM000041,2025-07-28,0.795,12.7
LAND000041,FRM000041,2025-08-27,0.688,13.7
LAND000041,FRM000041,2025-09-26,0.722,12.6
LAND000041,FRM000041,2025-10-26,0.678,3.4
LAND000042,FRM000042,2024-11-30,0.614,14.4
LAND000042,FRM000042,2024-12-30,0.653,3.1
LAND000042,FRM000042,2025-01-29,0.554,26.7
LAND000042,FRM000042,2025-02-28,0.54,12.6
LAND000042,FRM000042,2025-03-30,0.662,9.5
LAND000042,FRM000042,2025-04-29,0.601,39.2
LAND000042,FRM000042,2025-05-29,0.454,16.9
LAND000042,FRM000042,2025-06-28,0.436,3.8
LAND000042,FRM000042,2025-07-28,0.418,30.5
LAND000042,FRM000042,2025-08-27,0.361,36.0
LAND000042,FRM000042,2025-09-26,0.383,26.9
LAND000042,FRM000042,2025-10-26,0.466,25.4
LAND000043,FRM000043,2024-11-30,0.754,34.7
LAND000043,FRM000043,2024-12-30,0.798,16.6
LAND000043,FRM000043,2025-01-29,0.755,40.0
LAND000043,FRM000043,2025-02-28,0.863,7.0
LAND000043,FRM000043,2025-03-30,0.786,17.9
LAND000043,FRM000043,2025-04-29,0.835,38.2
LAND000043,FRM000043,2025-05-29,0.695,8.4
LAND000043,FRM000043,2025-06-28,0.679,33.9
LAND000043,FRM000043,2025-07-28,0.617,25.2
LAND000043,FRM000043,2025-08-27,0.64,10.3
LAND000043,FRM000043,2025-09-26,0.631,20.1
LAND000043,FRM000043,2025-10-26,0.697,2.4
